# Species	Genes	Alg.-Conn.	GCF_000007045.1	GCF_000014365.1	GCF_000018965.1	GCF_000018985.1	GCF_000019005.1	GCF_000019025.1	GCF_000019265.1	GCF_000019825.1	GCF_000019985.1	GCF_000196595.1
4	5	0.165	*	*	WP_001120554.1	*	*	WP_000657894.1	*	WP_012512644.1,WP_012512639.1	*	WP_000657891.1
5	5	0.0857	*	*	WP_000182374.1	WP_001018880.1	WP_000966489.1	*	WP_001244587.1	*	WP_000061741.1	*
3	5	0.122	*	*	*	*	*	*	WP_000778381.1,WP_000778446.1	WP_012512655.1,WP_012512694.1	WP_000778450.1	*
8	8	0.0656	*	WP_001812038.1	WP_001153919.1	WP_001153898.1	WP_001812038.1	WP_001808925.1	WP_001153897.1	*	WP_001153897.1	WP_001808925.1
7	11	0.19	*	WP_000785402.1	*	WP_000785284.1,WP_000785432.1,WP_001854988.1	WP_000785569.1,WP_000785402.1	WP_000785423.1	WP_000785413.1	*	WP_000785414.1,WP_000785568.1	WP_000785423.1
10	42	0.188	NP_359267.1,NP_357636.1,NP_358603.1,NP_358361.1,NP_358582.1	WP_000436424.1,WP_000436387.1,WP_000436352.1,WP_000436218.1,WP_000436276.1	WP_000436533.1,WP_000436170.1,WP_000436352.1	WP_025169093.1,WP_000436558.1,WP_000436647.1	WP_000530063.1	WP_000436340.1,WP_000436575.1,WP_000811360.1,WP_000436217.1,WP_000436205.1	WP_000436368.1,WP_000436597.1,WP_000436423.1,WP_000436470.1,WP_000436300.1,WP_000436330.1	WP_000436548.1,WP_000436372.1,WP_000436275.1	WP_000436372.1,WP_000436430.1,WP_000436459.1,WP_025169093.1,WP_000436647.1,WP_000436284.1,WP_000530057.1,WP_000436193.1	WP_000811360.1,WP_000436217.1,WP_000436205.1
7	7	0.0439	*	*	WP_001185499.1	*	WP_001289767.1	WP_000224680.1	WP_001289768.1	WP_000224689.1	WP_000224685.1	WP_000224680.1
10	44	0.122	NP_357635.1	WP_001856278.1,WP_001856174.1,WP_025170956.1	WP_012677110.1,WP_015898755.1,WP_015898776.1,WP_041170970.1,WP_012677123.1	WP_001818128.1,WP_001826513.1,WP_012677035.1,WP_012677061.1,WP_001856551.1	WP_001844883.1,WP_025169388.1	WP_001816395.1,WP_001820560.1,WP_041179003.1,WP_001816258.1,WP_001816403.1,WP_001816458.1	WP_001842081.1,WP_041864701.1,WP_001852377.1,WP_001820993.1,WP_001836276.1,WP_041864735.1,WP_041864710.1	WP_001826647.1,WP_012512585.1,WP_001810102.1	WP_001828363.1,WP_001817826.1,WP_001813997.1,WP_001828318.1,WP_012386648.1,WP_001828341.1,WP_001821924.1	WP_001816395.1,WP_001820560.1,WP_001816403.1,WP_001816458.1,WP_001821288.1
3	3	0.223	*	*	*	WP_001822805.1	*	WP_001822134.1	*	*	WP_001813680.1	*
3	3	0.299	*	*	WP_000655516.1	*	*	*	WP_000562210.1	*	WP_000450956.1	*
3	3	0.282	*	*	WP_000693095.1	*	*	*	WP_000693101.1	WP_000693275.1	*	*
3	3	0.302	*	*	*	*	*	WP_014678396.1	WP_000459098.1	WP_012512679.1	*	*
8	31	0.223	*	WP_000007977.1,WP_025170967.1,WP_001828996.1	WP_000007994.1,WP_001833734.1	WP_000008014.1,WP_000008011.1,WP_001811841.1	*	WP_000007994.1,WP_001816378.1,WP_000007977.1,WP_000007993.1,WP_001816401.1	WP_000008014.1,WP_000007994.1,WP_001828996.1,WP_000007990.1	WP_001829014.1,WP_000008000.1	WP_000007980.1,WP_000007989.1,WP_000008012.1,WP_000008015.1,WP_000008016.1,WP_001811841.1,WP_001811985.1	WP_000007994.1,WP_001816378.1,WP_000007977.1,WP_000007993.1,WP_001816401.1
8	8	0.158	*	WP_000266233.1	WP_000500472.1	WP_000266233.1	WP_000500471.1	WP_000500477.1	WP_000500477.1	*	WP_000266233.1	WP_000500477.1
10	47	0.151	NP_358588.1,NP_358435.1,NP_359165.1,NP_359482.1,NP_359538.1	WP_000647092.1,WP_000856928.1,WP_000433670.1,WP_000647077.1,WP_000647078.1	WP_000647046.1,WP_000647142.1,WP_000647162.1,WP_000647155.1,WP_000647180.1	WP_000647136.1,WP_000647096.1,WP_000647037.1,WP_000647070.1	WP_000647141.1,WP_000841938.1,WP_000647039.1,WP_000647112.1,WP_000647070.1	WP_000647037.1,WP_000647089.1,WP_000647070.1,WP_000647103.1,WP_000647174.1	WP_000647142.1,WP_000841943.1,WP_000646958.1,WP_000647037.1	WP_000647153.1,WP_041170947.1,WP_000647067.1,WP_001826657.1	WP_000647033.1,WP_000647017.1,WP_000647131.1,WP_000647136.1,WP_000433661.1	WP_000647088.1,WP_000647089.1,WP_000647174.1,WP_000647070.1,WP_000647103.1
7	9	0.212	NP_358546.1	WP_000405357.1	WP_000405355.1	WP_000405356.1	WP_000405353.1,WP_000405380.1	*	WP_000405369.1	*	WP_000405356.1,WP_000512672.1	*
5	5	0.0144	NP_358798.1	WP_001856208.1	WP_041170994.1	*	WP_001847127.1	*	WP_001058021.1	*	*	*
7	9	0.144	NP_358549.1	WP_000529543.1	WP_000529544.1	WP_000529543.1	WP_000817506.1,WP_000003746.1	*	*	WP_000817622.1	WP_000529543.1,WP_000817505.1	*
7	8	0.183	NP_358550.1	WP_000263037.1	WP_000263052.1	WP_000263037.1	WP_000401235.1	*	*	WP_000401233.1	WP_000263038.1,WP_000401235.1	*
8	8	0.0559	NP_358874.1	WP_000699328.1	WP_000536882.1	*	WP_001220485.1	WP_000699326.1	WP_000699337.1	*	WP_000927706.1	WP_000699326.1
6	7	0.135	NP_358396.1	WP_000420568.1	WP_000420568.1	*	*	*	WP_000420566.1,WP_000420556.1	WP_000420565.1	WP_000420562.1	*
7	7	0.031	NP_358040.1	WP_001809509.1	*	WP_000240090.1	WP_001104691.1	*	WP_041864702.1	WP_001860186.1	*	WP_001104690.1
8	13	0.386	NP_358799.1	WP_000821284.1	WP_000821280.1	WP_000821282.1	WP_000821271.1,WP_000821304.1	*	WP_000821278.1,WP_000821280.1,WP_000821298.1	WP_000821296.1,WP_000821299.1	WP_000821301.1,WP_000821309.1	*
6	8	0.188	NP_358792.1	WP_000869752.1	*	*	WP_000869760.1,WP_000869752.1	*	WP_000869754.1,WP_000869756.1	WP_000869764.1	WP_000869762.1	*
5	5	0.0783	*	*	WP_000695333.1	*	*	WP_000723326.1	WP_000723325.1	WP_000723326.1	*	WP_000723325.1
5	5	0.23	NP_358093.1	WP_000268096.1	*	*	WP_001844590.1	*	WP_001813573.1	*	WP_001813573.1	*
4	6	0.488	*	*	*	*	*	*	WP_001038795.1	WP_001038795.1	WP_001038789.1,WP_001038791.1,WP_001038797.1	WP_001038795.1
9	9	0.0474	NP_357669.1	WP_000671444.1	WP_000671388.1	WP_000671411.1	WP_000671462.1	WP_000671416.1	WP_000671456.1	WP_000671467.1	*	WP_000671416.1
10	25	0.384	NP_357610.1	WP_000225408.1,WP_000225459.1,WP_001845994.1	WP_000225424.1,WP_041170951.1	WP_000225391.1,WP_000225408.1,WP_000225431.1	WP_000225388.1,WP_000225438.1,WP_000225421.1	WP_000225389.1,WP_000225379.1	WP_000225391.1,WP_000225427.1,WP_000225417.1	WP_000225460.1,WP_041170931.1	WP_000225391.1,WP_000225427.1,WP_000225446.1,WP_000225464.1	WP_000225389.1,WP_000225453.1
7	8	0.325	*	WP_001815629.1	WP_001818071.1	WP_001815629.1	WP_001816157.1,WP_000007978.1	*	WP_001816157.1	WP_012512608.1	WP_001816157.1	*
8	8	0.186	*	WP_000964474.1	*	WP_001141646.1	WP_001141654.1	WP_001141657.1	WP_001141657.1	WP_001141648.1	WP_001141650.1	WP_001141657.1
10	10	0.0914	NP_359051.1	WP_001213269.1	WP_001213269.1	WP_001213269.1	WP_001213269.1	WP_001213269.1	WP_001812833.1	WP_001213269.1	WP_001213269.1	WP_001213269.1
3	4	0.488	*	*	WP_001165339.1	*	WP_001165344.1	*	WP_000687457.1,WP_001165344.1	*	*	*
9	9	0.101	*	WP_001812508.1	WP_015898766.1	WP_001809583.1	WP_001812508.1	WP_001814746.1	WP_001842112.1	WP_001826603.1	WP_001813649.1	WP_001814746.1
9	9	0.181	*	WP_001229595.1	WP_001229613.1	WP_001229594.1	WP_001229596.1	WP_001229606.1	WP_001229592.1	WP_001229591.1	WP_001229608.1	WP_001229594.1
8	12	0.523	NP_359040.1	WP_001856250.1	WP_001818761.1,WP_012677116.1	*	WP_001844553.1,WP_001844561.1,WP_025173488.1	WP_001816493.1	WP_001835808.1	WP_012512596.1	WP_001811990.1,WP_000134458.1	*
4	5	0.574	NP_358671.1	WP_010976532.1	*	WP_012677039.1	*	*	WP_025170783.1,WP_041864704.1	*	*	*
4	5	0.558	*	*	WP_001186204.1	WP_001186214.1	WP_001186237.1	*	WP_001186229.1,WP_001186242.1	*	*	*
5	5	0.544	*	*	*	WP_001811084.1	*	WP_001811084.1	WP_041864712.1	WP_001826681.1	WP_001813678.1	*
5	5	0.391	*	WP_001844429.1	*	WP_001810159.1	WP_001844429.1	*	WP_000367956.1	WP_001810159.1	*	*
6	7	0.493	*	*	*	*	WP_000398284.1	WP_000398284.1	WP_012291622.1	WP_001815707.1	WP_001815707.1,WP_000398284.1	WP_001814870.1
7	7	0.221	*	*	WP_001818346.1	WP_001809846.1	WP_001809846.1	WP_001093269.1	*	WP_001818346.1	WP_001813641.1	WP_001093269.1
5	6	0.604	*	*	WP_001005709.1	*	WP_000840776.1	*	WP_000840775.1,WP_000840778.1	WP_000840780.1	WP_000840776.1	*
6	6	0.173	NP_357715.1	WP_001035315.1	WP_001035336.1	*	WP_001035309.1	*	WP_001035347.1	*	WP_001035312.1	*
8	10	0.609	NP_358800.1	WP_000566531.1	WP_000566549.1	WP_000566531.1	WP_000566528.1,WP_000566535.1	*	WP_000566537.1	WP_000566548.1,WP_000566526.1	WP_000566524.1	*
7	9	0.744	NP_358545.1	WP_000579612.1	WP_000579612.1	WP_000579604.1	WP_000579600.1,WP_000579613.1	*	WP_000579597.1	*	WP_000579605.1,WP_000579607.1	*
9	9	0.333	*	WP_001010956.1	WP_001010936.1	WP_001010940.1	WP_001010936.1	WP_001010953.1	WP_001010943.1	WP_001010960.1	WP_001812198.1	WP_001010953.1
7	7	0.418	*	*	WP_000846944.1	WP_001222639.1	WP_001810529.1	WP_000717930.1	WP_012291621.1	*	WP_000846944.1	WP_000717930.1
6	7	0.68	*	WP_001136122.1	WP_001136120.1,WP_001136123.1	WP_001136124.1	WP_001136122.1	*	*	WP_001136124.1	WP_001136122.1	*
9	12	0.699	*	WP_029656948.1,WP_029744257.1	WP_001281525.1,WP_001281531.1	WP_001281530.1	WP_001281465.1,WP_001281525.1	WP_001281494.1	WP_001281507.1	WP_001281512.1	WP_001281530.1	WP_001281530.1
10	14	0.804	NP_358156.1	WP_000242203.1	WP_000242204.1	WP_000242204.1	WP_000242177.1,WP_000242188.1	WP_000242170.1,WP_000242188.1	WP_000242204.1	WP_000242204.1	WP_000242176.1,WP_000242204.1	WP_000242170.1,WP_000242188.1
10	13	0.762	NP_358789.1,NP_359122.1	WP_000078389.1,WP_001135651.1	WP_001135651.1	WP_001135651.1	WP_000078389.1,WP_001135651.1	WP_001135651.1	WP_001135655.1	WP_001135651.1	WP_001135651.1	WP_001135651.1
10	11	0.679	NP_357712.1	WP_000424442.1	WP_000424454.1	WP_000424446.1	WP_000424427.1	WP_000424439.1	WP_000424404.1	WP_000424428.1,WP_000424436.1	WP_000424425.1	WP_000424439.1
8	8	0.477	*	*	WP_000769852.1	WP_000842497.1	WP_000769849.1	WP_001816515.1	WP_001809607.1	WP_000842498.1	WP_000769850.1	WP_000769849.1
10	12	0.752	NP_357607.1,NP_359411.1	WP_000588897.1	WP_000588873.1	WP_000588897.1	WP_000588897.1	WP_000588897.1	WP_000588897.1	WP_000588864.1,WP_000588897.1	WP_000588911.1	WP_000588897.1
10	12	0.772	NP_357920.1	WP_001811052.1	WP_001811052.1,WP_041170967.1	WP_001811052.1	WP_032496149.1	WP_001811052.1	WP_001809483.1	WP_001809483.1,WP_001811052.1	WP_049760251.1	WP_001811052.1
8	9	0.747	*	WP_001813618.1	*	WP_001813618.1	WP_001813618.1	WP_001813618.1	WP_001813618.1,WP_025169160.1	WP_001813618.1	WP_001813618.1	WP_001813618.1
9	10	0.764	*	WP_001808732.1	WP_001809140.1	WP_001844799.1	WP_001844799.1	WP_001811210.1	WP_001809140.1,WP_001811210.1	WP_001817964.1	WP_001808732.1	WP_001811210.1
9	10	0.743	*	WP_000836538.1	WP_000836538.1	WP_000836536.1	WP_000836476.1,WP_001847370.1	WP_000836538.1	WP_000836536.1	WP_012512646.1	WP_000836536.1	WP_000836538.1
10	11	0.761	NP_357713.1	WP_000072891.1	WP_001066706.1	WP_001066699.1	WP_000072905.1	WP_000072924.1	WP_000072918.1	WP_000072906.1,WP_012512629.1	WP_000072920.1	WP_000072924.1
10	11	0.757	NP_359355.1	WP_001093641.1	WP_001093623.1	WP_001093639.1	WP_001093620.1	WP_001093609.1	WP_001093627.1	WP_001093632.1,WP_001093646.1	WP_001093619.1	WP_001093609.1
10	10	0.904	NP_359480.1	WP_001231472.1	WP_001231472.1	WP_001231472.1	WP_001231473.1	WP_001231473.1	WP_001231467.1	WP_001231474.1	WP_001231473.1	WP_001231473.1
10	10	0.9	NP_358289.1	WP_001180421.1	WP_001180421.1	WP_001180430.1	WP_001180421.1	WP_001180425.1	WP_001180421.1	WP_001180424.1	WP_001180421.1	WP_001180425.1
10	10	0.899	NP_359500.1	WP_001180963.1	WP_001180954.1	WP_001180961.1	WP_001180964.1	WP_001180977.1	WP_001180973.1	WP_001180979.1	WP_001180970.1	WP_001180977.1
7	7	0.697	*	WP_001856111.1	WP_001808617.1	WP_012677055.1	*	WP_001166181.1	WP_001166172.1	WP_001166169.1	*	WP_001166181.1
10	10	0.901	NP_358525.1	WP_001227739.1	WP_001227744.1	WP_001227738.1	WP_001227756.1	WP_001227756.1	WP_001227754.1	WP_001227738.1	WP_001227757.1	WP_001227756.1
10	10	0.902	NP_358583.1	WP_001227083.1	WP_001227083.1	WP_001227083.1	WP_001227083.1	WP_001227083.1	WP_001227085.1	WP_001227083.1	WP_001227083.1	WP_001227083.1
10	10	0.886	NP_359520.1	WP_001176227.1	WP_001176227.1	WP_001176227.1	WP_001176227.1	WP_001176227.1	WP_001176227.1	WP_001176227.1	WP_001176227.1	WP_001176227.1
10	10	0.899	NP_358442.1	WP_001232082.1	WP_001232082.1	WP_001232081.1	WP_001232078.1	WP_001232081.1	WP_001232085.1	WP_001232085.1	WP_001232085.1	WP_001232081.1
10	10	0.901	NP_358530.1	WP_001180357.1	WP_001180357.1	WP_001180361.1	WP_001180357.1	WP_001180357.1	WP_001180357.1	WP_001180357.1	WP_001180357.1	WP_001180357.1
10	10	0.894	NP_358484.1	WP_001231242.1	WP_001231235.1	WP_001231235.1	WP_001231222.1	WP_001231228.1	WP_001835978.1	WP_001231228.1	WP_001231234.1	WP_001231231.1
10	10	0.898	NP_358003.2	WP_001227315.1	WP_001227312.1	WP_001227307.1	WP_001227319.1	WP_001227316.1	WP_001227307.1	WP_001227304.1	WP_001227307.1	WP_001227316.1
10	10	0.898	NP_359016.1	WP_001231087.1	WP_001231086.1	WP_001231086.1	WP_001231093.1	WP_001231086.1	WP_001231086.1	WP_001231086.1	WP_001231086.1	WP_001231086.1
10	10	0.907	NP_359619.1	WP_001227958.1	WP_001227958.1	WP_001227956.1	WP_001227958.1	WP_001227958.1	WP_001227960.1	WP_001227959.1	WP_001227958.1	WP_001227958.1
